,index,object,part,id,url,image,name,tags,thumbnail,objective,IC,AccessMeta,note
,,bottle,cap:plastic,4841019,https://www.thingiverse.com/thing:4841019,https://cdn.thingiverse.com/assets/e4/0c/52/61/c0/card_preview_Bottle_Cap_Aid_2021-Apr-26_11-56-17PM-000_CustomizedView39032471076.jpg,Bottle Cap Grip,"aid, assistive, assistive device, bottle, Bottle cap, cap, device, kitchen, kitchen tool, tool, tools",,motor,bottle_plastic,actuation-operation,
,,bottle,cap:plastic,3456941,https://www.thingiverse.com/thing:3456941,https://cdn.thingiverse.com/renders/ab/64/73/5e/ef/2dd8d282779995d347dfe0b036e828cd_preview_card.JPG,"OT student project : Bottle opener for ""snapclic"" cap / Ouvre bouteille pour bouchon ""snapclic""","AssistiveTech, assistive device, Bottle cap, cap, disabled, ergotherapie, occupational therapy",,motor,bottle_plastic,actuation-operation,
,,bottle,cap:plastic,711671,https://www.thingiverse.com/thing:711671,https://cdn.thingiverse.com/renders/b7/fc/1b/01/68/bottle_cap_wrench_design_giova-remix__Round_preview_card.jpg,Plastic Cap Wrench (giova remix) Rounded,"accessibility, assistive, Bottle cap, bottle opener, kitchen, Pet bottle, useful",,motor,bottle_plastic,actuation-operation,
,,bottle,cap:dispenser,4223780,https://www.thingiverse.com/thing:4223780,https://cdn.thingiverse.com/assets/2a/24/a1/7f/62/card_preview_90085844_211047486634488_3888945027983867904_n.jpg,Liquid soap/hand sanitizer dispenser for single hand/forearm use.,"arthritis, assistive aid, AssistiveTech, assistive device, bathroom, coronavirus, Covid, covid-19, COVID19, easy print, functional, hand sanitiser, hand sanitizer, hand wash, handwash, Handwashing, hygiene, hypercube, kitchen, lever, liquid soap, no supports, one hand, open source, opensource, pump, pump action, pump bottle, soap, soap pump, wash your hands",,motor,bottle_pump,actuation-operation,
,,bottle,general,1097099,https://www.thingiverse.com/thing:1097099,https://cdn.thingiverse.com/renders/76/97/86/20/4a/Thingiverse_Cover_preview_card.jpg,UBO - The Universal Bottle Opener (v1),"AssistiveTech, bottle, bottleopener, bottle opener, cap, household, kitchen, opener, steam, TVY, universal",,motor,"bottle_plasiic, can",actuation-operation,
,,bottle,general,3581044,https://www.thingiverse.com/thing:3581044,https://cdn.thingiverse.com/renders/ee/f6/f3/ef/b4/84a9341e994e71ff082cdea3415ce54f_preview_card.jpg,INNER PULL TOP OPENER,"assistive, AssistiveTech, assistive device, assistive technology, disability, disabled",,motor,bottle_pull_top,actuation-operation,"visual feature is unclear, so it goes under general"
,,bottle,general,2707972,https://www.thingiverse.com/thing:2707972,https://cdn.thingiverse.com/renders/28/37/d5/e6/41/c7937ab9e6d513e25b416bd9a4910604_preview_card.jpg,[K] Support de bouteille (Bottle support),"access, accessibility, aid, AssistiveTech, assistive device, assistive technology, bottle, bottle holder, disability, disabled, ergotherapie, handicap, helpful, holder, medical, medical devices, occupational therapy, support",,motor,bottle_plastic,constraint,
,,bottle,general,2849877,https://www.thingiverse.com/thing:2849877,https://cdn.thingiverse.com/renders/ff/8c/51/75/ee/e2181ef64ef69ae511ca7036d972c1b5_preview_card.JPG,[K] Support de paille (Straw holder),"access, accessibility, aid, AssistiveTech, assistive device, assistive technology, bottle, disability, disabled, drink, handicap, helpful, holder, medical, medical devices, occupational therapy, straw, Straw Holder, support",,motor,bottle_plastic,actuation-reach,
,3,can,general,2457756,https://www.thingiverse.com/thing:2457756,https://cdn.thingiverse.com/renders/09/b5/ad/75/ec/f625a0110b8321df9bc6a4fd99698e74_preview_card.jpg,Nintendo Switch Joy Con Drink Holder,"beer holder, Coozie, drink holder, Joy-Con, Joycon, joycon grip, nintendo, nintendo switch",,motor,can,actuation-operation,
,,can,general,5195705,https://www.thingiverse.com/thing:5195705,https://cdn.thingiverse.com/assets/4a/86/b2/46/e9/card_preview_Can_Holder_III.jpg,Can Holder,"aid, AssistiveTech, assistive device, assistive technology, kitchen, occupational, occupational therapy, ocupacional, terapia, terapia ocupacional, therapy",,motor,can,actuation-operation,
